식품명,식품대분류명,영양성분함량기준량,에너지(kcal)
커피_바닐라 라떼 핫(HOT),음료 및 차류,100ml,67
커피_바닐라 라떼 핫(HOT),음료 및 차류,100ml,75
커피_바닐라 라떼 핫(HOT),음료 및 차류,100ml,42
커피_바닐라 빈 라떼 아이스(ICED) (Tall),음료 및 차류,100ml,44
커피_바닐라 빈 라떼 핫(HOT) (Tall),음료 및 차류,100ml,69
커피_바닐라 스타벅스 더블 샷,음료 및 차류,100ml,60
커피_바닐라 카페 라떼 아이스(ICED) (J),음료 및 차류,100ml,49
커피_럼 샷 코르타도 (Short),음료 및 차류,100ml,30
커피_롱블랫 아이스(ICED) (Short),음료 및 차류,100ml,5
커피_롱블랫 핫(HOT) (Short),음료 및 차류,100ml,4
커피_리스트레또 딜라이트 아이스(ICED),음료 및 차류,100ml,47
커피_리스트레또 딜라이트 핫(HOT),음료 및 차류,100ml,88
커피_메가리카노 아이스(ICED),음료 및 차류,100ml,2
커피_모카 더블 베네프레소 (S),음료 및 차류,100ml,81
커피_모카 카페 라떼 아이스(ICED) (J),음료 및 차류,100ml,60
커피_모카 카페 라떼 아이스(ICED) (L),음료 및 차류,100ml,60
커피_모카 카페 라떼 핫(HOT) (J),음료 및 차류,100ml,137
커피_모카 카페 라떼 핫(HOT) (L),음료 및 차류,100ml,98
커피_민트모카 아이스(ICED) (L),음료 및 차류,100ml,87
커피_민트모카 아이스(ICED) (R),음료 및 차류,100ml,95
커피_민트모카 아이스(ICED),음료 및 차류,100ml,81
커피_민트모카 아이스(ICED),음료 및 차류,100ml,81
커피_민트모카 핫(HOT) (L),음료 및 차류,100ml,129
커피_민트모카 핫(HOT) (R),음료 및 차류,100ml,131
커피_민트모카 핫(HOT),음료 및 차류,100ml,87
커피_민트모카 핫(HOT),음료 및 차류,100ml,109
커피_디카페인 콜드브루 아메리카노 (EX),음료 및 차류,100ml,2
커피_디카페인 콜드브루 아메리카노 (L),음료 및 차류,100ml,3
커피_디카페인 콜드브루 아메리카노 (R),음료 및 차류,100ml,3
커피_디카페인 콜드브루 아메리카노 (V),음료 및 차류,100ml,3
커피_디카페인 콜드브루 아메리카노,음료 및 차류,100ml,3
커피_디카페인 콜드브루 아인슈페너,음료 및 차류,100ml,20
커피_디카페인 콜드브루 크림넛,음료 및 차류,100ml,61
커피_디카페인 콜드브루 티라미수,음료 및 차류,100ml,83
커피_디카페인 콜드브루 화이트비엔나,음료 및 차류,100ml,70
커피_디카페인 콜드브루 라떼 연유,음료 및 차류,100ml,60
커피_디카페인 콜드브루 라떼 흑당,음료 및 차류,100ml,47
커피_디카페인 콜드브루 라떼,음료 및 차류,100ml,27
커피_디카페인 콜드브루,음료 및 차류,100ml,2
커피_디카페인 흑당 콜드브루 (EX),음료 및 차류,100ml,61
커피_디카페인 흑당 콜드브루,음료 및 차류,100ml,60
커피_딥초콜릿 카페 라떼,음료 및 차류,100ml,48
커피_라벤더 블론드 스타벅스 더블 샷,음료 및 차류,100ml,72
커피_라벤더 카페 브레베 아이스(ICED) (Tall),음료 및 차류,100ml,94
커피_라벤더 카페 브레베 핫(HOT) (Tall),음료 및 차류,100ml,113
커피_디카페인 니트로 커피,음료 및 차류,100ml,3
커피_디카페인 바닐라 딜라이트 아이스(ICED),음료 및 차류,100ml,57
커피_디카페인 바닐라 딜라이트 핫(HOT),음료 및 차류,100ml,73
커피_디카페인 버블 흑당 콜드브루 (EX),음료 및 차류,100ml,79
커피_디카페인 버블 흑당 콜드브루,음료 및 차류,100ml,66
커피_디카페인 아메리카노 아이스(ICED),음료 및 차류,100ml,3
커피_디카페인 아메리카노 핫(HOT),음료 및 차류,100ml,3
커피_디카페인 연유 콜드브루 (EX),음료 및 차류,100ml,66
커피_디카페인 연유 콜드브루 플로트 (V),음료 및 차류,100ml,72
커피_디카페인 연유 콜드브루 플로트 (L),음료 및 차류,100ml,72
커피_디카페인 연유 콜드브루 플로트 (R),음료 및 차류,100ml,66
커피_디카페인 연유 콜드브루,음료 및 차류,100ml,64
커피_디카페인 카페 라떼 아이스(ICED),음료 및 차류,100ml,34
커피_디카페인 카페 라떼 핫(HOT),음료 및 차류,100ml,53
커피_디카페인 콜드브루 라떼 (EX),음료 및 차류,100ml,32
커피_디카페인 콜드브루 라떼 (L),음료 및 차류,100ml,22
커피_디카페인 콜드브루 라떼 (R),음료 및 차류,100ml,23
커피_디카페인 콜드브루 라떼 (V),음료 및 차류,100ml,25
커피_디카페인 콜드브루 라떼,음료 및 차류,100ml,27
커피_돌체 카페 라떼 아이스(ICED) (J),음료 및 차류,100ml,88
커피_돌체 카페 라떼 아이스(ICED) (L),음료 및 차류,100ml,88
커피_돌체 카페 라떼 핫(HOT) (J),음료 및 차류,100ml,115
커피_돌체 카페 라떼 핫(HOT) (L),음료 및 차류,100ml,115
커피_돌체 카푸치노 N2,음료 및 차류,100ml,85
커피_돌체 콜드 브루 (Tall),음료 및 차류,100ml,75
커피_돌체 콜드브루 라떼,음료 및 차류,100ml,49
커피_돌체 라떼 아이스(ICED),음료 및 차류,100ml,77
커피_돌체 라떼 아이스(ICED),음료 및 차류,100ml,54
커피_돌체 라떼 아이스(ICED),음료 및 차류,100ml,53
커피_돌체 라떼 핫(HOT),음료 및 차류,100ml,103
커피_돌체 라떼 핫(HOT),음료 및 차류,100ml,62
커피_돌체 라떼 핫(HOT),음료 및 차류,100ml,61
커피_듀얼브루 디카페인 아메리치노 아이스(ICED),음료 및 차류,100ml,6
커피_듀얼브루 디카페인 아메리치노 라떼 아이스(ICED),음료 및 차류,100ml,51
커피_듀얼브루 디카페인 아메리카노 아이스(ICED),음료 및 차류,100ml,6
커피_듀얼브루 디카페인 아메리카노 핫(HOT),음료 및 차류,100ml,6
커피_듀얼브루 디카페인 카페 라떼 아이스(ICED),음료 및 차류,100ml,30
커피_듀얼브루 디카페인 카페 라떼 핫(HOT),음료 및 차류,100ml,51
커피_달달연유 라떼 아이스(ICED),음료 및 차류,100ml,66
커피_달달연유 라떼 핫(HOT),음료 및 차류,100ml,116
커피_더블 베네브루 디카페인 (S),음료 및 차류,100ml,75
커피_더블 베네브루 블루밍 (S),음료 및 차류,100ml,76
커피_더블 베네브루 시그니처 (S),음료 및 차류,100ml,77
커피_더블샷 바닐라 딜라이트 아이스(ICED),음료 및 차류,100ml,63
커피_더블샷 바닐라 딜라이트 핫(HOT),음료 및 차류,100ml,79
커피_더블에스프레소,음료 및 차류,100ml,37
커피_더치 블랙 에티오피아 예가체프,음료 및 차류,100ml,2
커피_더치 블랙 케냐AA,음료 및 차류,100ml,2
커피_더치 썬셋,음료 및 차류,100ml,47
커피_더치 오션,음료 및 차류,100ml,48
커피_더치 라떼,음료 및 차류,100ml,21
커피_더치아메리카노,음료 및 차류,100ml,3
커피_데일리오트코코넛 라떼 아이스(ICED) (L),음료 및 차류,100ml,97
커피_데일리오트코코넛 라떼 아이스(ICED) (Max),음료 및 차류,100ml,97
커피_데일리오트코코넛 라떼 아이스(ICED) (R),음료 및 차류,100ml,98
커피_데일리오트코코넛 라떼 핫(HOT) (L),음료 및 차류,100ml,127
커피_데일리오트코코넛 라떼 핫(HOT) (R),음료 및 차류,100ml,126
커피_꿀아메리카노 아이스(ICED),음료 및 차류,100ml,31
커피_꿀아메리카노 핫(HOT),음료 및 차류,100ml,30
커피_나이트로 바닐라 크림 (Tall),음료 및 차류,100ml,23
커피_나이트로 콜드 브루 (Tall),음료 및 차류,100ml,1
커피_낭만 달고나 카페 라떼 아이스(ICED),음료 및 차류,100ml,102
커피_낭만 달고나 카페 라떼 핫(HOT),음료 및 차류,100ml,110
커피_넘버원모카 아이스(ICED) (L),음료 및 차류,100ml,84
커피_넘버원모카 아이스(ICED) (R),음료 및 차류,100ml,91
커피_넘버원모카 핫(HOT) (L),음료 및 차류,100ml,113
커피_넘버원모카 핫(HOT) (R),음료 및 차류,100ml,123
커피_니트로 콜드브루,음료 및 차류,100ml,1
커피_니트로커피,음료 및 차류,100ml,3
커피_달고나 아인슈페너 아이스(ICED),음료 및 차류,100ml,121
커피_달고나 크림커피 아이스(ICED),음료 및 차류,100ml,140
커피_달고나카페 라떼 아이스(ICED) (L),음료 및 차류,100ml,69
커피_달고나카페 라떼 아이스(ICED) (Max),음료 및 차류,100ml,61
커피_달고나카페 라떼 아이스(ICED) (R),음료 및 차류,100ml,62
커피_달고나카페 라떼 핫(HOT) (L),음료 및 차류,100ml,88
커피_달고나카페 라떼 핫(HOT) (R),음료 및 차류,100ml,89
자몽홍차_꿀 자몽 블랙티,음료 및 차류,100ml,47
자몽홍차_오렌지자몽블랙티 아이스(ICED),음료 및 차류,100ml,18
자몽홍차_오렌지자몽블랙티 핫(HOT),음료 및 차류,100ml,31
자몽홍차_자몽 허니 블랙티 아이스(ICED) (Tall),음료 및 차류,100ml,35
자몽홍차_자몽 허니 블랙티 핫(HOT) (Tall),음료 및 차류,100ml,35
자몽홍차_허니 자몽 블랙티,음료 및 차류,100ml,39
자몽홍차_허니자몽블랙티 아이스(ICED),음료 및 차류,100ml,37
자몽홍차_허니자몽블랙티 핫(HOT),음료 및 차류,100ml,51
자몽홍차_허니자몽블랙티,음료 및 차류,100ml,55
자몽홍차_자몽허니블랙티 아이스(ICED),음료 및 차류,100ml,33
자몽홍차_자몽허니블랙티 핫(HOT),음료 및 차류,100ml,43
자몽홍차_허니자몽블랙티 아이스(ICED),음료 및 차류,100ml,62
자몽홍차_허니자몽블랙티 핫(HOT),음료 및 차류,100ml,62
자몽홍차_자몽허니블랙티 아이스(ICED),음료 및 차류,100ml,40
커피_과테말라 누에보 오리엔테,음료 및 차류,100ml,1
커피_그린티도피오 라떼 아이스(ICED),음료 및 차류,100ml,65
커피_그린티도피오 라떼 핫(HOT),음료 및 차류,100ml,86
커피_꼰대 라떼 아이스(ICED),음료 및 차류,100ml,71
커피_꼰대 라떼 핫(HOT),음료 및 차류,100ml,94
자몽차_자몽차,음료 및 차류,100ml,30
자몽차_자몽차 (L),음료 및 차류,100ml,30
자몽차_자몽차 (R),음료 및 차류,100ml,26
자몽차_자몽차 아이스(ICED) (L),음료 및 차류,100ml,24
자몽차_자몽차 아이스(ICED) (L),음료 및 차류,100ml,22
자몽차_자몽차 아이스(ICED) (M),음료 및 차류,100ml,21
자몽차_자몽차 아이스(ICED) (ML),음료 및 차류,100ml,24
자몽차_자몽차 핫(HOT) (L),음료 및 차류,100ml,22
자몽차_자몽차 핫(HOT) (M),음료 및 차류,100ml,21
자몽차_자몽차 핫(HOT) (ML),음료 및 차류,100ml,28
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,22
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,21
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,36
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,28
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,28
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,49
자몽차_허니몽 아이스(ICED),음료 및 차류,100ml,52
자몽차_허니몽 핫(HOT),음료 및 차류,100ml,69
자몽차_자몽티,음료 및 차류,100ml,41
자몽차_자몽블랙티,음료 및 차류,100ml,45
자몽차_자몽차 아이스(ICED),음료 및 차류,100ml,42
자몽차_자몽차 핫(HOT),음료 및 차류,100ml,50
자몽차_자몽차,음료 및 차류,100ml,36
자몽차_자몽차,음료 및 차류,100ml,45
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,40
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,24
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,41
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,70
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,32
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,41
자몽차_캐모마일 자몽 릴렉싱티,음료 및 차류,100ml,29
자몽차_허니 자몽티,음료 및 차류,100ml,52
자몽차_홍자몽차 아이스(ICED),음료 및 차류,100ml,38
자몽차_홍자몽차 핫(HOT),음료 및 차류,100ml,38
자몽차_꿀 자몽티 아이스(ICED),음료 및 차류,100ml,42
자몽차_꿀 자몽티 핫(HOT),음료 및 차류,100ml,54
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,48
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,27
유자차_유자차 핫(HOT),음료 및 차류,100ml,43
유자차_유자차 핫(HOT) (L),음료 및 차류,100ml,47
유자차_유자차 핫(HOT) (M),음료 및 차류,100ml,50
유자차_유자차 핫(HOT) (ML),음료 및 차류,100ml,50
자몽차_꿀자몽티,음료 및 차류,100ml,58
자몽차_루비자몽 아이스(ICED),음료 및 차류,100ml,56
자몽차_루비자몽 핫(HOT),음료 및 차류,100ml,64
자몽차_시트러스자몽 아이스(ICED),음료 및 차류,100ml,33
자몽차_오렌지자몽티 아이스(ICED) (L),음료 및 차류,100ml,38
자몽차_오렌지자몽티 아이스(ICED) (R),음료 및 차류,100ml,31
자몽차_오렌지자몽티 핫(HOT) (L),음료 및 차류,100ml,47
자몽차_자몽 네이블 오렌지 아이스(ICED),음료 및 차류,100ml,49
자몽차_자몽 네이블 오렌지 핫(HOT),음료 및 차류,100ml,47
자몽차_자몽 네이블오렌지,음료 및 차류,100ml,59
자몽차_자몽차 아이스(ICED) (L),음료 및 차류,100ml,49
자몽차_자몽차 핫(HOT) (L),음료 및 차류,100ml,49
자몽차_자몽티 아이스(ICED),음료 및 차류,100ml,32
자몽차_자몽티 핫(HOT),음료 및 차류,100ml,32
자몽차_자몽티,음료 및 차류,100ml,40
유자차_유자차 아이스(ICED),음료 및 차류,100ml,43
유자차_유자차 핫(HOT),음료 및 차류,100ml,48
유자차_유자차,음료 및 차류,100ml,45
유자차_유자차,음료 및 차류,100ml,28
유자차_유자티 아이스(ICED),음료 및 차류,100ml,67
유자차_유자티 핫(HOT),음료 및 차류,100ml,68
유자차_유자티,음료 및 차류,100ml,56
유자차_고흥유자차 (L),음료 및 차류,100ml,81
유자차_고흥유자차 (R),음료 및 차류,100ml,61
유자차_레몬 유자티 아이스(ICED),음료 및 차류,100ml,50
유자차_레몬 유자티 핫(HOT),음료 및 차류,100ml,58
유자차_유자레몬티 아이스(ICED),음료 및 차류,100ml,48
유자차_유자레몬티 핫(HOT),음료 및 차류,100ml,48
유자차_유자차,음료 및 차류,100ml,39
유자차_유자차 아이스(ICED),음료 및 차류,100ml,43
유자차_유자차 아이스(ICED) (L),음료 및 차류,100ml,41
유자차_유자차 아이스(ICED) (L),음료 및 차류,100ml,47
유자차_유자차 아이스(ICED) (M),음료 및 차류,100ml,50
유자차_유자차 아이스(ICED) (ML),음료 및 차류,100ml,41
유자차_맑은 유자 플럼티,음료 및 차류,100ml,34
유자차_사과유자차 아이스(ICED),음료 및 차류,100ml,34
유자차_사과유자차 핫(HOT),음료 및 차류,100ml,38
유자차_사과유자차,음료 및 차류,100ml,38
유자차_상그리아 유자티 아이스(ICED),음료 및 차류,100ml,46
유자차_상그리아 유자티 핫(HOT),음료 및 차류,100ml,46
유자차_유자 민트티 아이스(ICED) (Tall),음료 및 차류,100ml,41
유자차_유자 민트티 핫(HOT) (Tall),음료 및 차류,100ml,66
유자차_유자차 아이스(ICED) (L),음료 및 차류,100ml,46
유자차_유자차 핫(HOT) (L),음료 및 차류,100ml,46
유자차_유자 캐모마일 아이스(ICED),음료 및 차류,100ml,44
유자차_유자 캐모마일 핫(HOT),음료 및 차류,100ml,44
유자차_유자티,음료 및 차류,100ml,19
유자차_유자 피나콜라다 아이스(ICED),음료 및 차류,100ml,45
유자차_유자 피나콜라다 핫(HOT),음료 및 차류,100ml,48
유자차_유자 피나콜라다,음료 및 차류,100ml,45
유자차_유자레몬티 핫(HOT) (R),음료 및 차류,100ml,73
유자차_유자레몬티 아이스(ICED) (R),음료 및 차류,100ml,52
유자차_유자레몬티 핫(HOT) (L),음료 및 차류,100ml,61
오미자차_문경오미자티 아이스(ICED),음료 및 차류,100ml,39
오미자차_문경오미자티 핫(HOT),음료 및 차류,100ml,39
우롱차_우롱티 아이스(ICED) (J),음료 및 차류,100ml,1
우롱차_우롱티 아이스(ICED) (L),음료 및 차류,100ml,1
우롱차_우롱티 아이스(ICED),음료 및 차류,100ml,1
우롱차_우롱티 핫(HOT) (J),음료 및 차류,100ml,1
우롱차_우롱티 핫(HOT) (L),음료 및 차류,100ml,1
우롱차_피치우롱 아이스(ICED),음료 및 차류,100ml,3
우롱차_피치우롱 핫(HOT),음료 및 차류,100ml,3
우롱차_우롱티 아이스(ICED),음료 및 차류,100ml,4
우롱차_우롱티 핫(HOT),음료 및 차류,100ml,6
우롱차_피치 우롱티 아이스(ICED) (L),음료 및 차류,100ml,19
우롱차_피치 우롱티 아이스(ICED) (ML),음료 및 차류,100ml,25
우롱차_피치 우롱티 핫(HOT) (ML),음료 및 차류,100ml,30
유자차_고흥 유자 레몬 캐모마일티,음료 및 차류,100ml,21
유자차_고흥 유자차 아이스(ICED),음료 및 차류,100ml,62
유자차_고흥 유자차 핫(HOT),음료 및 차류,100ml,62
유자차_고흥유자 아이스(ICED),음료 및 차류,100ml,58
유자차_고흥유자 핫(HOT),음료 및 차류,100ml,66
마카롱_바닐라 마카롱,빵 및 과자류,100g,470
마카롱_바닐라 마카롱,빵 및 과자류,100g,519
마카롱_바닐라 마카롱,빵 및 과자류,100g,496
마카롱_바닐라 마카롱,빵 및 과자류,100g,445
마카롱_바닐라 마카롱,빵 및 과자류,100g,396
마카롱_벚꽃 마카롱 5종 세트,빵 및 과자류,100g,456
마카롱_벨지안초콜릿 마카롱,빵 및 과자류,100g,420
마카롱_블루베리 마카롱,빵 및 과자류,100g,440
마카롱_블루베리 마카롱,빵 및 과자류,100g,375
마카롱_블루베리 마카롱,빵 및 과자류,100g,400
마카롱_블루하와이 마카롱,빵 및 과자류,100g,451
마카롱_뽀또치즈 마카롱,빵 및 과자류,100g,440
마카롱_산딸기 마카롱,빵 및 과자류,100g,378
마카롱_산딸기 마카롱,빵 및 과자류,100g,400
마카롱_샤인머스켓 마카롱,빵 및 과자류,100g,287
마카롱_소다 마카롱,빵 및 과자류,100g,190
마카롱_솜사탕 마카롱,빵 및 과자류,100g,190
마카롱_순우유 뚱카롱,빵 및 과자류,100g,440
마카롱_슈팅요거트 마카롱,빵 및 과자류,100g,456
마카롱_슈팅캔디 마카롱,빵 및 과자류,100g,365
마카롱_스트로베리 마카롱,빵 및 과자류,100g,457
마카롱_스트로베리 치즈 마카롱,빵 및 과자류,100g,433
마카롱_얼그레이 쇼콜라 마카롱,빵 및 과자류,100g,500
마카롱_얼그레이 마카롱,빵 및 과자류,100g,425
마카롱_오마이그린티 마카롱,빵 및 과자류,100g,483
마카롱_우유치즈 마카롱,빵 및 과자류,100g,410
마카롱_유니콘 마카롱,빵 및 과자류,100g,236
마카롱_유니콘프라페 마카롱,빵 및 과자류,100g,491
마카롱_유자가나슈 마카롱,빵 및 과자류,100g,375
마카롱_인절미 마카롱,빵 및 과자류,100g,423
마카롱_천사의눈물(우유) 마카롱,빵 및 과자류,100g,413
마카롱_초땅샌드 마카롱,빵 및 과자류,100g,411
마카롱_초코 마카롱,빵 및 과자류,100g,190
마카롱_초코 마카롱,빵 및 과자류,100g,496
마카롱_초코떡카롱,빵 및 과자류,100g,375
마카롱_초코 마카롱,빵 및 과자류,100g,448
마카롱_초코 마카롱,빵 및 과자류,100g,375
마카롱_초코악마 마카롱,빵 및 과자류,100g,481
마카롱_초코 퐁카롱,빵 및 과자류,100g,273
마카롱_초코프레소 마카롱,빵 및 과자류,100g,460
마카롱_초콜릿 마카롱,빵 및 과자류,100g,452
마카롱_치즈 마카롱,빵 및 과자류,100g,496
마카롱_카라멜 마카롱,빵 및 과자류,100g,190
마카롱_카라멜솔티드 뚱카롱,빵 및 과자류,100g,400
마카롱_쿠앤크 마카롱,빵 및 과자류,100g,435
마카롱_쿠앤크 마카롱,빵 및 과자류,100g,496
마카롱_쿠쿠촉촉(오레오)가나슈 마카롱,빵 및 과자류,100g,429
마카롱_쿠쿠촉촉(오레오) 마카롱,빵 및 과자류,100g,485
마카롱_쿠쿠피그 마카롱,빵 및 과자류,100g,513
마카롱_쿠크샌드 마카롱,빵 및 과자류,100g,400
마카롱_쿠키 앤 크림 마카롱,빵 및 과자류,100g,483
마카롱_쿠키프라페 마카롱,빵 및 과자류,100g,480
마카롱_크랜베리딸기 마카롱,빵 및 과자류,100g,447
마카롱_크림치즈티라미수 마카롱,빵 및 과자류,100g,482
마카롱_타르트에빠진레드벨벳치즈 마카롱,빵 및 과자류,100g,500
마카롱_패션후르츠 마카롱,빵 및 과자류,100g,303
마카롱_퐁크러쉬 마카롱,빵 및 과자류,100g,491
마카롱_프렌치 블루베리 마카롱,빵 및 과자류,100g,375
마카롱_피스타치오 마카롱,빵 및 과자류,100g,190
마카롱_피스타치오 마카롱,빵 및 과자류,100g,440
마카롱_피치오레오 마카롱,빵 및 과자류,100g,332
마카롱_핑쿠핑쿠 마카롱,빵 및 과자류,100g,500
마카롱_핑크솔티드 카라멜 마카롱,빵 및 과자류,100g,375
마카롱_허니레몬 마카롱,빵 및 과자류,100g,470
마카롱_호박고구마 마카롱,빵 및 과자류,100g,190
마카롱_누텔라 뚱카롱,빵 및 과자류,100g,528
마카롱_돼지바 뚱카롱,빵 및 과자류,100g,498
마카롱_돼지바 마카롱,빵 및 과자류,100g,400
마카롱_딸기 마카롱,빵 및 과자류,100g,402
마카롱_딸기 마카롱,빵 및 과자류,100g,541
마카롱_딸기요거트 뚱카롱,빵 및 과자류,100g,439
마카롱_라즈베리 뚱카롱,빵 및 과자류,100g,493
마카롱_마약옥수수 뚱카롱,빵 및 과자류,100g,502
마카롱_말차 뚱카롱,빵 및 과자류,100g,466
마카롱_바나나누텔라 마카롱,빵 및 과자류,100g,440
마카롱_뽀또치즈 마카롱,빵 및 과자류,100g,440
마카롱_뽀또치즈 마카롱,빵 및 과자류,100g,393
마카롱_산딸기 마카롱,빵 및 과자류,100g,516
마카롱_솔티드카라멜 마카롱,빵 및 과자류,100g,437
마카롱_솔티카라멜 뚱카롱,빵 및 과자류,100g,439
마카롱_아몬드봉봉 마카롱,빵 및 과자류,100g,559
마카롱_얼그레이 마카롱,빵 및 과자류,100g,440
마카롱_연유 뚱카롱,빵 및 과자류,100g,469
마카롱_오레오 뚱카롱,빵 및 과자류,100g,486
마카롱_오레오 마카롱,빵 및 과자류,100g,417
마카롱_오렌지얼그레이 마카롱,빵 및 과자류,100g,427
마카롱_요거트 마카롱,빵 및 과자류,100g,447
마카롱_우유 마카롱,빵 및 과자류,100g,538
마카롱_월드콘 마카롱,빵 및 과자류,100g,454
마카롱_인절미 뚱카롱,빵 및 과자류,100g,439
마카롱_초코라떼 마카롱,빵 및 과자류,100g,410
마카롱_초콜릿 마카롱,빵 및 과자류,100g,550
마카롱_치즈케이크 마카롱,빵 및 과자류,100g,450
마카롱_쿠키앤크림 마카롱,빵 및 과자류,100g,435
마카롱_쿠키앤크림 마카롱,빵 및 과자류,100g,550
마카롱_크림브륄레 마카롱,빵 및 과자류,100g,493
마카롱_토피넛크런치 마카롱,빵 및 과자류,100g,435
마카롱_핑크딸기 마카롱,빵 및 과자류,100g,427
마카롱_황치즈 뚱카롱,빵 및 과자류,100g,486
마카롱_황치즈 마카롱,빵 및 과자류,100g,553
머핀_까놀레,빵 및 과자류,100g,333
머핀_마드렌,빵 및 과자류,100g,438
머핀_마들렌,빵 및 과자류,100g,465
머핀_블루베리 머핀,빵 및 과자류,100g,394
머핀_블루베리 머핀,빵 및 과자류,100g,439
머핀_블루베리 머핀,빵 및 과자류,100g,408
머핀_생미쉘시트러스마들렌,빵 및 과자류,100g,500
머핀_쌀휘낭시에,빵 및 과자류,100g,333
머핀_얼그레이 레몬 머핀,빵 및 과자류,100g,378
머핀_잉글리쉬 머핀,빵 및 과자류,100g,236
머핀_잉글리쉬 머핀,빵 및 과자류,100g,199
머핀_초코 바나나 머핀,빵 및 과자류,100g,356
머핀_초코 마들렌,빵 및 과자류,100g,418
머핀_초코 머핀,빵 및 과자류,100g,423
머핀_초코 머핀,빵 및 과자류,100g,400
머핀_초코칩 머핀,빵 및 과자류,100g,382
머핀_초코칩 머핀,빵 및 과자류,100g,376
머핀_초콜릿휘낭시에 글루텐프리,빵 및 과자류,100g,575
머핀_치즈 머핀,빵 및 과자류,100g,401
머핀_치즈 머핀,빵 및 과자류,100g,373
머핀_카러멜 마들렌,빵 및 과자류,100g,394
머핀_크림치즈 머핀,빵 및 과자류,100g,393
머핀_플레인 머핀,빵 및 과자류,100g,446
머핀_피낭시에,빵 및 과자류,100g,385
머핀_휘낭시에 글루텐프리,빵 및 과자류,100g,575
머핀_게랑트쇼콜라 (L),빵 및 과자류,100g,536
머핀_레몬 마들렌,빵 및 과자류,100g,397
머핀_머핀,빵 및 과자류,100g,343
머핀_블루베리 머핀,빵 및 과자류,100g,323
머핀_얼그레이 휘낭시에,빵 및 과자류,100g,527
머핀_초코범벅,빵 및 과자류,100g,429
머핀_초코범벅,빵 및 과자류,100g,429
머핀_초코칩 머핀,빵 및 과자류,100g,603
머핀_치즈 머핀,빵 및 과자류,100g,336
머핀_캐러멜 마들렌,빵 및 과자류,100g,394
머핀_허쉬초코 머핀,빵 및 과자류,100g,440
머핀_헤이즐넛 휘낭시에,빵 및 과자류,100g,527
머핀_휘낭시에 로투스,빵 및 과자류,100g,535
머핀_휘낭시에 소보로,빵 및 과자류,100g,526
머핀_휘낭시에 소시지,빵 및 과자류,100g,667
머핀_휘낭시에 약과,빵 및 과자류,100g,572
머핀_휘낭시에 오레오,빵 및 과자류,100g,563
머핀_휘낭시에 크림치즈,빵 및 과자류,100g,509
머핀_휘낭시에 플레인,빵 및 과자류,100g,447
모닝빵_바로만든모닝빵 (10입),빵 및 과자류,100g,329
모닝빵_부드러운연유브레드,빵 및 과자류,100g,390
모닝빵_순수한맛순우유롤 (봉),빵 및 과자류,100g,323
모닝빵_스위트밀크롤 (1개입),빵 및 과자류,100g,386
모닝빵_스위트밀크롤 (2개입),빵 및 과자류,100g,386
모닝빵_스위트밀크롤 (3개입),빵 및 과자류,100g,386
모닝빵_스위트밀크롤 (4개입),빵 및 과자류,100g,381
탕평채,생채·무침류,100ml,65
에이드_청포도 에이드,음료 및 차류,100ml,36
에이드_청포도 에이드 (L),음료 및 차류,100ml,45
에이드_청포도 에이드 (L),음료 및 차류,100ml,46
에이드_청포도 에이드 (L),음료 및 차류,100ml,43
에이드_청포도 에이드 (M),음료 및 차류,100ml,39
에이드_청포도 에이드 (ML),음료 및 차류,100ml,34
에이드_청포도 에이드 (XL),음료 및 차류,100ml,44
에이드_체리콕 에이드,음료 및 차류,100ml,40
에이드_코코 에이드 청포도,음료 및 차류,100ml,29
에이드_크림소다 에이드,음료 및 차류,100ml,35
에이드_패션프루츠 에이드,음료 및 차류,100ml,39
에이드_핑크리치 에이드 (L),음료 및 차류,100ml,42
에이드_핑크리치 에이드 (XL),음료 및 차류,100ml,44
에이드_한라봉 에이드,음료 및 차류,100ml,55
에이드_한라봉 에이드 (L),음료 및 차류,100ml,35
에이드_한라봉 에이드 (R),음료 및 차류,100ml,34
오미자차_감귤 오미자차 핫(HOT),음료 및 차류,100ml,44
오미자차_감귤 오미자차 아이스(ICED),음료 및 차류,100ml,44
오미자차_문경오미자차,음료 및 차류,100ml,27
에이드_자몽 에이드 (L),음료 및 차류,100ml,45
에이드_자몽 에이드 (M),음료 및 차류,100ml,36
에이드_자몽 에이드 (ML),음료 및 차류,100ml,41
에이드_자몽 에이드 (R),음료 및 차류,100ml,21
에이드_자몽 에이드 (XL),음료 및 차류,100ml,49
에이드_장수 오미자 에이드,음료 및 차류,100ml,36
에이드_제주 한라봉 에이드,음료 및 차류,100ml,36
